filename,species,genus,year,common name
Abies_amabilis_final.dynglob21a1had3.elev.30000.img,Abies amabilis,Abies,2100,Pacific silver fir
Abies_amabilis_final.dynglob50a1had3.elev.30000.img,Abies amabilis,Abies,2050,Pacific silver fir
Abies_balsamea_final.dynglob21a1had3.elev.30000.img,Abies balsamea,Abies,2100,Balsam fir
Abies_balsamea_final.dynglob50a1had3.elev.30000.img,Abies balsamea,Abies,2050,Balsam fir
Abies_bracteata_final.dynglob21a1had3.elev.30000.img,Abies bracteata,Abies,2100,Santa Lucia fir
Abies_bracteata_final.dynglob50a1had3.elev.30000.img,Abies bracteata,Abies,2050,Santa Lucia fir
Abies_concolor_final.dynglob21a1had3.elev.30000.img,Abies concolor,Abies,2100,White fir
Abies_concolor_final.dynglob50a1had3.elev.30000.img,Abies concolor,Abies,2050,White fir
Abies_grandis_final.dynglob21a1had3.elev.30000.img,Abies grandis,Abies,2100,Grand fir
Abies_grandis_final.dynglob50a1had3.elev.30000.img,Abies grandis,Abies,2050,Grand fir
Abies_lasiocarpa_final.dynglob21a1had3.elev.30000.img,Abies lasiocarpa,Abies,2100,Subalpine fir
Abies_lasiocarpa_final.dynglob50a1had3.elev.30000.img,Abies lasiocarpa,Abies,2050,Subalpine fir
Abies_procera_final.dynglob21a1had3.elev.30000.img,Abies procera,Abies,2100,Noble fir
Abies_procera_final.dynglob50a1had3.elev.30000.img,Abies procera,Abies,2050,Noble fir
Pseudotsuga_macrocarpa_final.dynglob21a1had3.elev.30000.img,Pseudotsuga macrocarpa,Pseudotsuga,2100,Bigcone Douglas-fir
Pseudotsuga_macrocarpa_final.dynglob50a1had3.elev.30000.img,Pseudotsuga macrocarpa,Pseudotsuga,2050,Bigcone Douglas-fir
Pseudotsuga_menziesii_final.dynglob21a1had3.elev.30000.img,Pseudotsuga menziesii,Pseudotsuga,2100,Douglas-fir
Pseudotsuga_menziesii_final.dynglob50a1had3.elev.30000.img,Pseudotsuga menziesii,Pseudotsuga,2050,Douglas-fir
Abies_magnifica_final.dynglob21a1had3.elev.30000.img,Abies magnifica,Abies,2100,Red fir
Abies_magnifica_final.dynglob50a1had3.elev.30000.img,Abies magnifica,Abies,2050,Red fir