manual_id,PlotName,issue,cover
18,Ashley,wrong ll,
948,Greenacres,wrong ll,
952,Vantine,wrong ll,0
1036,Palouse_Park,wrong ll,0
1451,2N10,wrong ll,
1566,Davis_Canyon,wrong ll,
1639,Libby_Creek_#2,wrong ll,
1700,Private,wrong ll,
1701,Prairie_City_Timber,timber,0
2066,Johnson Park,wrong ll,
1065,Hanson_Harbor,water,
1499,Wenatchee_Lake,water,
1543,Shrine_Beach,water,
2016,Arnett Creek,wrong ll,0
3001,Bonaparte River,wrong ll,
3002,Bonaparte River,wrong ll,
3004,Bonaparte River,wrong ll,
3005,Bonaparte River,wrong ll,
3050,Bonaparte River,wrong ll,
3055,Big Bar Creek,wrong ll,
3056,High Bar North (changed to Big Bar Ck 2012),wrong ll,
800,RY_Timber,"wrong ll, 0 ",0
6414,Burnside_Lake,missing ll,
6409,Murphys_Wash,missing ll,
6413,Pickett_Peak,missing ll,
6401,Beaver_Creek,missing ll,
6417,Franklin_Basin,missing ll,
6415,Horsethief_Canyon,missing ll,
6416,North_Canyon,missing ll,
6405,Red_Spur,missing ll,
6404,Running_Water_Spring,missing ll,
6410,Success_Summitt,missing ll,